name,coor,area
Harrisonburg,"(38.4493315, -78.8688833)",Virginia
Bristol,"(36.5959685, -82.1885009)",Virginia
Galax,"(36.6612387, -80.9239671)",Virginia
Staunton,"(38.1495947, -79.072557)",Virginia
Hampton,"(37.0300969, -76.3452057)",Virginia
Fairfax,"(38.8462236, -77.3063733)",Virginia
Roanoke,"(37.270973, -79.9414313)",Virginia
Suffolk,"(36.7282096, -76.5835703)",Virginia
Portsmouth,"(36.8444196, -76.3532998)",Virginia
Petersburg,"(37.227928, -77.4019268)",Virginia
Chesapeake,"(36.7183708, -76.2466798)",Virginia
Lynchburg,"(37.4137536, -79.1422464)",Virginia
Charlottesville,"(38.029306, -78.4766781)",Virginia
Arlington,"(38.8903961, -77.0841585)",Virginia
Newport News,"(36.9775016, -76.42977)",Virginia
Winchester,"(39.1852184, -78.1652404)",Virginia
Poquoson,"(37.1219885, -76.3965772)",Virginia
Virginia Beach,"(36.8529841, -75.9774183)",Virginia
Alexandria,"(38.8051095, -77.0470229)",Virginia
Richmond,"(37.5385087, -77.43428)",Virginia
Norfolk,"(36.8968052, -76.2602336)",Virginia
Beckley,"(37.7781702, -81.1881557)",West Virginia
Wheeling,"(40.0639616, -80.7209149)",West Virginia
Weirton,"(40.4189566, -80.5895167)",West Virginia
Charleston,"(38.3505995, -81.6332812)",West Virginia
Huntington,"(38.4192496, -82.445154)",West Virginia
Martinsburg,"(39.4562528, -77.9639604)",West Virginia
Morgantown,"(39.6296809, -79.9559437)",West Virginia
Parkersburg,"(39.2699565, -81.5506916)",West Virginia
